Question,Answer,,,,,,
How to open a Corporate account for a private or public company?,"Corporate accounts are opened offline. You can contact us through Live Chat, email us at contactus@shoonya.com or call us at Sales: +91 9098001001 if you wish to open a Corporate account with us. Upon receiving the request, we will email the account opening form. Once you receive the form, you need to take a printout, fill it up, sign, and send it along with the required documents at the below address:

Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055",,,,,,
Can i open an online account if my current mobile number is not registered with Aadhaar ?,"Unfortunately, we cannot open an online account, if the user cannot complete the Aadhaar based OTP process. We need to send an OTP to the mobile number registered with your Aadhaar in order to verify your identity. You will be able to open an offline paper-based account in such a scenario.

First, you need to register and complete the account opening process online. After that, you will get KYC on email for AADHAAR authentication. You need to take a print out, sign, and send it to the below address:

Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055",,,,,,
"How to open an account without an Aadhaar?
","If you do not have an Aadhaar card, then you'll have to open an offline account: 

To get started, follow the steps below:
https://prism.shoonya.com/register

Just follow the instructions and complete the account opening process. You need to upload a scanned copy of the required documents. The system will let you know the list of required documents. 

At the end of the account opening process, you will get the KYC form; You need to take a printout of the form & sign it. Once you sign it, you must send the form to the address below: Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055",,,,,,
How to open an account using Aadhaar?,"You can open your account online without any paperwork.

To get started, follow the steps below:
https://prism.shoonya.com/register
Just follow the instructions and complete the account opening process online. You need to upload a scanned copy of the required documents. The system will let you know the list of required documents. ",,,,,,
How do I open an account online?,"You can open your account online without any paperwork.

To get started, follow the steps below:
https://prism.shoonya.com/register

Just follow the instructions and complete the account opening process online. You need to upload a scanned copy of the required documents. The system will let you know the list of required documents.

Please find below the video ""How to open an account online"" -

https://www.youtube.com/watch?v=gqaxwt3fR9U


If you have any queries, please don't hesitate to contact our Sales team:
LiveChat: https://www.shoonya.com
Contact number: 9098001001
Email: contactus@shoonya.com",,,,,,
What are the documents required to open an account online?,"Documents required to open an account online are- 

1. Scanned copy of your Signature.

2. Income proof: You can submit any one of the below documents as income proof if you wish to trade in Futures & Options, Currency and Commodity.   

A) Latest 6 months' bank statement

B) The latest 3 months' salary slips 

C) Form 16

D) Income Tax Return Acknowledgment

E) DEMAT holding statement

F) Net worth certificate",,,,,,
What is In-Person Verification (IPV) and why it is needed?,"IPV is a process where the broker verifies the client and his documents in person. It is compulsory for every non-KRA client to go through the IPV before opening a Trading and a DEMAT Account. IPV in the past used to be done physically where an employee of the broker would visit and verify. Nowadays, technology allows IPV to be done online using a webcam.

Please find below the YouTube video link of ""IPV Process for Non-KRA Registration [In Person Verification]' - 
https://www.youtube.com/watch?v=xqd16OMIgx8
",,,,,,
Where should I send my offline Account opening forms to?,"Finvasia Center

Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055",,,,,,
How do I open an account offline?,"Shoonya provides an online account opening facility. You can open your account online within 5 minutes: 

To get started, follow the steps below:
https://prism.shoonya.com/register



Note: If you want to open a non-individual, minor or joint account. You will have to send a request to contactus@shoonya.com; We will send you the KYC Forms & List of documents required. You need to take a printout of the forms, fill it up & sign it. Once you fill it up & sign it, you have to send the form to the below address: 

Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055",,,,,,
How do I contact an agent to open an account?,"Please find below the contact details for account opening assistance:

A) CONTACT NUMBERS

Sales: +91 9098001001 (Toll-free number) 

B) LIVE CHAT

You can reach  us at Live Chat on our website: 

https://www.shoonya.com/


  ",,,,,,
How do I open minor account and what are documents required?,"Minor accounts are opened offline. You can contact us through Live Chat, email us at contactus@shoonya.com or call us at Sales: +91 9098001001 if you wish to open a minor account with us. Upon receiving the request, we will email you the account opening form. Once you receive the form, you need to take a printout, fill it up, sign, and send it along with the required documents at the below address:
Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055


Documents required to open a Minor account are:

1. Birth certificate (Minor)

2. Pan card (Minor)

3. Address proof of the minor

4. Bank proof (Minor): Cancelled cheque, passbook, or bank statement. 

5. Pan card of guardian

6. Address proof of guardian

7. 1 photo of the minor and guardian each

 

Note: You can open only the DEMAT account of the minor and cannot buy or sell. You can transfer only.
",,,,,,
"I'm an existing account holder at Shoonya, can I open an account for a family member or friend using my phone number or email?","As per Shoonya compliance policy, one email/mobile can only be used in a single account. ",,,,,,
Whom do I contact for Support in case I face an issue after opening my account?,"You can contact our support team for assistance:

A)  Contact Numbers
0172-4740000
0172-6750000
B)  Live Chat
Reach  us at Live Chat on our website: https://www.shoonya.com/
C) Email us at clientsupport@shoonya.in
D) Raise a Ticket - Raise a Ticket in the PRISM portal. ",,,,,,
How to close Demat & Trading account online?,"Please find below the process of account closing:

1. Log in to your PRISM
2. Go to the ""Services"" icon from the left side.
3. Click on ""Online Account Close"".
4. Fill up the required details and submit.
5. We will check and verify your ticket.
6. After verification, you need to digitally e-signed your closing form by entering the Aadhaar OTP.
7. After the E-signed, the account will be closed within 7 days.



Please Note: -

A) In case your mobile number and email id are not linked with Aadhar, then you need to sign and send the generated account closure form physically to our corporate office.

B) Make sure there are no shares and funds present in the account.

C) Make sure their account does not have a negative balance.",,,,,,
Is there any RM policy?,"No, there is no RM policy with us. There is a dedicated support team to look after your concern.",,,,,,
What is power of attorney (PoA) and why is it needed?,"Power of Attorney (POA) is a document that gives the stockbroker authorization to debit your shares from your Demat account whenever you sell your holdings. If your POA is mapped to your account, you can sell your holdings without a prompt asking you to authorize the transaction.
POA charges are Rs 100 (One time).


This is an optional facility. Shoonya also provides an E-DIS facility for selling your holdings. ",,,,,,
How to fill POA?,"Please refer to the video below on how to fill the POA form: 

https://youtu.be/x0PZK74FqJY",,,,,,
What is CDSL and NSDL and Shoonya have DP with whom?,"Central Depositories Services India Ltd. (CDSL) and National Securities Depository Ltd. (NSDL) are both government registered share depositories in India. Share depositories hold shares in an electronic form. CDSL and NSDL are to shares what banks are to cash and fixed deposits. Banks help you to keep your cash in electronic form as opposed to physical cash in your almirahs and share depositories help you in storing shares in a dematerialized form.

Shoonya is registered with CDSL.",,,,,,
What is the Franking process for POA?,"Franking is the process of actually getting the documents stamped. This process includes getting the documents marked or stamped, indicating that the documents are legal and the stamp duty levied on the documents has been paid.


",,,,,,
Everything you need to know to get started with your Shoonya by Finvasia account,"-How long will it take to get my login credentials?

Once you complete the account opening forms, getting the login credentials takes up to 24 hours. After that, we will send the login credentials to your registered email ID.



-How to log in to the Shoo",,,,,,
How can I reopen my closed account with Finvasia?,"First, you need to send us an email requesting reopening your closed account at contactus@shoonya.com

We will remove your details like PAN, email id, the mobile number from PRISM and inform you.

After that, you can re-register for an account opening from our website.",,,,,,
How to open a joint demat account with Finvasia?,"A joint account is opened offline. Please find below the steps to open a joint account: 



1. Download the account opening form from the below link: 

https://shoonya.com/downloads/pdfs/finvasia_equity_dp_individual.pdf

2. You need to take a printout, fill it up, sign it, and send it along with the required documents at the below address:

Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055



List of documents:

1. Pan card of all the holders

2. Address proof of all the holders

3. Bank proof: - Cancelled Cheque/passbook first page or bank statement of the first holder.

4. One photograph of all the holders.

5. Six months' Bank statement of the First holder (For derivatives segments only)

6. First two pages of the KYC of all the holders.



Note: All the documents should be self-attested.


",,,,,,
What are the features of Shoonya by Finvasia?,"Shoonya by Finvasia is a zero-commission trading platform that offers a variety of features to help traders make informed decisions. Some of the key features of Shoonya include:

1. Zero Pricing -

1.1 Zero Brokerage across all the segments (Intraday & Delivery).

1.2 Zero Account opening charges

1.3 Zero Annual Maintainance Charges

1.4 Zero Call and trade charges

1.5 Zero hidden charges

1.6 Zero platform charges

1.7 Zero clearing charges (NSE & BSE)



2. Advanced tools and platforms - Shoonya is a one-stop investment platform for all your needs: First-time investors & professional traders. Some of the features of Shoonya:

-Powerful multi-asset platform – You can trade in Equity cash, Futures, options, commodities, Mutual funds, ETFs, IPOs, and bonds.

-Screeners & analytics

-Access to historical trading data & multiple time intervals.

-Available in desktop, web, and mobile apps.

-Advance charting by TradingView & ChartIQ.

-100+ technical indicators and studies.

-Multiple logins on the web, mobile, and Exe.



3. Commission-Free Direct Mutual Funds - You can research, compare and invest in direct mutual funds all in one place at ZERO commission.



4. Easy Payin & Payouts - You can transfer funds through APIs, payment gateway, and Virtual account numbers (NEFT, RTGS, FT & IMPS).-Same day payout (8.30 am to 5.30 pm)



5. Refer & Rewards - You can invite your friends & family to open an account with us and get gift vouchers from over 200 companies.



6. Dedicated Customer Support: -

-LiveChat – You can visit shoonya.com and chat with our executives.

-Telephonic support – 01724740000 / 01726750000

-Email support – You can write us at clientsupport@shoonya.in

-Ticketing System – You can put any requests like modification, updation, suggestions, and complaints in PRISM. You will get a ticket number, and you can track your requests.



7. Other Features: -

-Pledging facility (Stocks, Bonds, Mutual funds & ETFs)

-Equity SIP

-eDIS facility

-GTT in NSE, BSE & MCX.

-Hedge margin benefits at the order level.",,,,,,
How is GST calculated and charged?,"GST is 18% applicable on Brokerage + Exchange transaction charges + Clearing charges. As the brokerage with us is zero, you only pay GST on exchange transaction charges.
",,,,,,
What are the mandatory statutory charges for different segments?,"Please find below details of Government or statutory charges: 

You must pay STT/CTT, Exchange transaction charges, GST, Stamp Duty & SEBI fees. For more details, find the below link to the Brokerage calculator:

https://www.shoonya.com/calculators",,,,,,
What are platform charges ?,There are no charges to use SHOONYA trading platform.,,,,,,
What are the DP transaction charges?,DP transaction charges are Rs 9+GST per scrip. These charges are applicable only when you sell your holdings.,,,,,,
What is the brokerage and charges to open a LLP account with Shoonya?,here are no brokerage charges to trade with us. Neither are there any account opening charges for a LLP,,,,,,
What is the brokerage and charges to open HUF accounts at Shoonya?,There are no brokerage charges to trade with us. Neither are there any account opening charges for HUF accounts.,,,,,,
What are your brokerage and other charges?,"Shoonya offers Zero brokerage across all the exchanges.

It's ZERO for INTRADAY and delivery.

No Hidden charges

NO Clearing charges (NSE)

NO Account opening

No Account Maintenance Charges

NO Call & Trade charges

NO platform fees

All you need to pay - the exchange & Govt fees


  ",,,,,,
Is Securities transaction tax (STT) levied on exchange-traded funds (ETFs)?,"Securities Transaction Tax is not applicable on GOLD ETFs, LIQUID/Gilt ETFs, and some International ETFs. 

For other ETFs the STT is -

0.001% on the sell-side for delivery-based trades.

0.025% on the sell side for intraday/BTST (non-delivery based) trades.

The STT non-applicability report on the NSE website has a list of scrips on which STT is not applicable.

",,,,,,
Why DP charges are levied in the case of BTST?,"When you buy shares and dont squared off on the same day, it will count as delivery. So DP selling script charges will be applicable on BTST and delivery selling.",,,,,,
What are the charges for call and trade?,"There are no charges for call and trade facilities. You can contact our dealing desk from your registered number and place your trades.

Please find below dealing desk numbers:

+91 1726 750 000

0172-474 0000

Press 1 for Trading.

",,,,,,
What are the charges for payout?,There are no charges for Payout.,,,,,,
What are NSE Investor Protection Fund Trust (IPFT) Charges?,"The NSE Investor Protection Fund Trust (IPFT) is a fund created by the National Stock Exchange of India to protect investors from losses due to defaults by brokers. IPFT charges will be reflected in your contract note. 

As per NSE circular ref No:  NSE/F&A/18608 and NSE/FA/56129, dated August 12, 2011, & March 24, 2023, the charges in the NSE Investor Protection Fund Trust (IPFT) for Equities Cash, Equity Future & Options, and Currency segment have been revised.

Please find the below-revised charges computed in Rs. per crore tabulated below, effective from April 1 2023 -


Segment                       Revised Charges                         Remarks

Equity Cash                            Rs 10                        Computed on traded value.

Equity Futures                        Rs 10                        Computed on traded value.

Equity Options                        Rs 50                        Computed on premium value

Currency Futures                    Rs 5                         Computed on traded value.

Currency Options                    Rs 200                     Computed on the premium value.


Benefits of NSE Investor Protection Fund Trust (IPFT) - 

The IPFT has several benefits for investors, including: -

1. Protection from losses due to broker defaults: The IPFT can compensate investors who lose money due to a broker default. The maximum amount an investor can receive from the IPFT is Rs 25 lakhs.

2. Easy to access: To be eligible for compensation from the IPFT, an investor must have filed a claim with the NSE within 90 days of the default. The NSE has a simple and easy-to-use process for filing claims.

3. Increased confidence: The IPFT can help to increase investor confidence in the stock market. Investors know that if a broker defaults, they may be able to recover their losses through the IPFT.

4. Reduced risk: The IPFT can help to reduce the risk of loss for investors. Investors may be more willing to invest in the stock market because a fund is available to compensate them if a broker defaults.",,,,,,
What is the square off percentage for MTM?,"First Margin call will be given as soon as the MTM Loss reaches 50 % of the total available margin and client will be asked to submit fresh margin or reduce the positions. Positions will be squared off once the MTM reaches 80%


",,,,,,
How long does it take before trade-able margin is made available ?,"Funds transferred through NEFT/RTGS/IMPS are usually credited within 1-30 minutes depending upon bank batch settlement. For instant fund transfer, the client can transfer through the trading application. There are no charges for funds transferred through NEFT/IMPS/RTGS. However, payment gateway charges @ Rs 7/transaction applicable while transferring through the trading platform.

",,,,,,
"Is collateral or margin against shares facility available with Shoonya?
","Yes, Shoonya provides a collateral margin facility. To get the collateral margin you can pledge your shares holdings, ETFs, and Mutual funds.

-You cannot use collateral margin for purchasing equity delivery and options buying. 

-You can trade in Futures, option selling, and MCX for intraday and carry till expiry with collateral margin.
-For getting the collateral margin, 50% of the margin needs to be compulsorily available in cash or cash equivalent collateral. The ratio of cash margin & collateral margin should be 50:50.",,,,,,
Which financial products that qualify for margin?,"Collateral margin is available against equity holdings, ETFs, Mutual funds, and bonds.",,,,,,
What is Collateral margin and process of getting collateral margin?,"A collateral amount is a form of loan against shares offered by a broker to their clients for trading in stock and shares. It is a form of an additional value-added service provided by a few brokers in India, and not all brokers offer this additional service due to the risk associated with it. Simply put, it provides shares in your Demat account as collateral to increase your trading limits.

-Shoonya provides a collateral margin facility. You can pledge your shares holdings, ETF, and Mutual funds to get the collateral margin. 

-You cannot use collateral margin for purchasing equity delivery and options buying. 

-For getting the collateral margin, 50% of the margin must be compulsorily available in cash or cash equivalent collateral. The ratio of cash margin & collateral margin should be 50:50.

-Charges for pledging and unpledging are RS 20 per script.


Please find below the steps of the “Segment Wise Margin Pledge Process: - 

1. Log in to the Shoonya app

2. Go to the Hub and tap on ""Pledge.""

3. Select the holding scrip and click on ""Pledge Now"".

4. Select the segment and quantity and tap on Pledge.

5. Enter the OTP and verify",,,,,,
What is the difference between Haircut and VAR margin?,"A haircut refers to a reduction applied to the value of an asset. It is expressed as a percentage. For example, if an asset such as holdings of a particular share is worth Rs 100 but is given a haircut of 20%, it means it is treated as though it has a value of only Rs 80.

Here is the link to the NSE haircut list - https://www1.nseindia.com/products/content/equities/equities/homepage_eq.htm
VAR Margin: Value at Risk margin is a measure of risk. It is used to estimate the probability of loss of value of a share or a portfolio, based on the statistical analysis of historical price trends and volatility. Based on the VAR margin, stock exchanges calculate the risk of loss in the value of a stock, typically with a one-day time horizon.
A stock with a 10% VAR margin requirement means that there may be a potential loss of 10% in the value of the stock in one day with a given level of confidence—say 99%. VAR margin is published by the exchanges multiple times during the day, based on the movement in the price of a stock. VAR margin is used to apply haircuts on stocks by many entities such as banks, which provide loans against shares.",,,,,,
What are the pledge and unpledged charges?,"Please find below the charges: 

Pledge: Rs 20 Plus GST per transaction

Un-pledge: Rs 20 Plus GST per transaction
",,,,,,
How much leverage Finvasia is providing for all segments ?,"Please find leverage details below:

Equity Cash (Intraday) (As per exchange VAR):      Up-to 5X 
Equity delivery:                  1X
Equity Futures (Intraday) :  1X
Option buying (Intraday) :   1X

Option selling (Intraday) :    1X

Currency future(Intraday) :  1X

MCX (Futures) (Intraday) :  1X



Please find the below list of stock wise Intraday leverage: 

https://docs.google.com/spreadsheets/d/1ttguModi_QOhmQ1a1ajZdMUmJI9Bcwqv4OgaAUch5hw/edit#gid=1886186239



Please find below the margin calculator link: 

https://shoonya.com/calculators

-The same leverage is for MIS/BO/CO


  
Was this article helpful?",,,,,,
How can I pledge my shares and Mutual funds?,"To get the collateral Margin, you can pledge the shares and mutual funds in favour of the TM/Clearing Member. The collateral margin for stocks will be provided after deductions of exchange haircuts. Mutual Funds shall be based on risk and can vary.

Please find below the steps of the “Segment Wise Margin Pledge Process: - 

1. Log in to the Shoonya app

2. Go to the Hub and tap on ""Pledge.""

3. Select the holding scrip and click on ""Pledge Now"".

4. Select the segment and quantity and tap on Pledge.

5. Enter the OTP and verify



-Below is the link to know about the list and respective Haircut of approved Mutual Funds for collateral margins:

https://docs.google.com/spreadsheets/d/1Fl2OyRfaVOgygaMMs08ObsZYYP9sx8u8woM4cJiFx5E/edit#gid=0
-Below is the link to know about the list of Approved securities for pledging (Cash component & Non-cash component): - 

https://docs.google.com/spreadsheets/d/1ttguModi_QOhmQ1a1ajZdMUmJI9Bcwqv4OgaAUch5hw/edit#gid=1499446386



Please NOTE

1. If you pledge securities before 7 p.m., you will receive the margin benefit on T+1 day.

2. If you pledge securities after 7 p.m., you will receive the margin benefit on T+2 day.

3. For getting the collateral margin, 50% of the margin must be compulsorily available in cash or cash equivalent collateral. The ratio of cash margin & collateral margin should be 50:50.

4. If you pledge securities and sell the stock on the same day, and Shoonya fails to unpledge and settle the stock on an exchange, you will be responsible for short-selling and will bear any losses or penalties.
5. Margin benefit will be passed on to the client only if Shoonya receives the margin benefit from NCL/MCX.

6. If Shoonya exceeds the limit on an exchange or if the client pledges unapproved securities, Shoonya will unpledge the stock to the client, and the client will bear the DP charges and margin short penalty, if any, for the same.


",,,,,,
How can I Un-pledge my shares and Mutual funds?,"You need to raise a ticket from the PRISM portal or E-mail us at clientsupport@shoonya.com to un-pledging your shares and mutual funds.

--Please mention the scrip name and quantity for un-pledging.

--Shares un-pledged before 1 PM shall be available for selling or transfer on the next working day.",,,,,,
What are the changes in F&O margins in last 5 days of expiry?,"Due to the physical settlement rule in FNO segment, there will be some changes in the margin in the last 5 days of expiry. There are no changes in the margin of the index as there is no physical settlement in an index. 

Please find below the margin requirements of FNO stocks : 

E-4 Day (Friday EOD) 10% of the applicable margin required

E-3 Day (Monday EOD) 25% of the applicable margin required

E-2 Day (Tuesday EOD) 45% of the applicable margin required

E-1 Day (Wednesday EOD) 70% of the applicable margin required

E-Day (Thursday ) 100% of the applicable margin required",,,,,,
"In which segments did we get collateral margin if we pledge the shares?
","You can use collateral margin in Equity cash-Intraday, Futures, options (Selling), CDS & MCX. You cannot use it for options buying and equity delivery.


",,,,,,
"What is the intraday margin available for equity shares?
","As per SEBI regulations on peak margins, starting September 1, 2021, intraday leverages have been reduced to ensure 100% of the margin required is collected for all Equity and derivative positions.



The minimum margin for equity intraday trades will be 20% of the trade value based on the volatility of the stock(VaR+ELM+Adhoc margins of the exchange). So you will get up to 5 times intraday leverage in the equity cash segment.



For example, you have 1 lakh rupees in your account and want to buy ITC shares (Intraday).

Leverage in ITC: 5X

You can buy up to 100000*5 = 500000 Rs of shares.

So for buying shares of 5 lakhs, you should have only a 20% (approx) margin that is 1 lakh rupees.



Below is the link to know about the list and respective leverage of equity shares:

https://docs.google.com/spreadsheets/d/1ttguModi_QOhmQ1a1ajZdMUmJI9Bcwqv4OgaAUch5hw/edit#gid=0

",,,,,,
Are there any interest charges on using collateral margin by pledge Share or Mutual funds?,"There is no interest in using collateral margin facility with us. 

For getting the collateral margin, 50% of the margin needs to be compulsorily available in cash. The ratio of cash margin & collateral margin should be 50:50.

If you don’t maintain a sufficient cash margin and the shortfall is funded by non-cash collateral, there will be delayed payment charges on the shortfall.

There are pledge and unpledged charges of Rs 20 per transaction.


  
Was this article helpful?
 Yes  No
0 Out Of 0 Found This Helpful",,,,,,
"I have pledged 700 quantity of the ETF, can I unpledged half the quantity?","Yes, you can unpledged any quantity as per your requirements. You need to raise a ticket from the PRISM portal or E-mail us at clientsupport@finvasia.in for un-pledging your ETF.

--Please mention scrip name and quantity for un-pledging.

--Shares un-pledged before 1 PM shall be available on the next working day for selling or transfer.",,,,,,
What is the pledge expiry date?,"While pledging you can select any expiry date on which you want to unpledged your stocks. 

Currently, you need to unpledged your stocks or mutual funds manually through PRISM or Email.

",,,,,,
"I have sold my holdings or positions today, ?when can I utilize its margin?","-If you sell shares from Demat (holdings), you can utilize an 80% margin for trading on the (T-day) same day and 100% on the next day (T+1). 

-If you Close your futures/option sell Carry positions, you can utilize the 100% margin in all the segments on t",,,,,,
What is Peak margin and how does it affect Payout?,"Peak Margin is the minimum margin that MUST be collected by brokers from their clients in advance of placing any intraday/delivery order in the Cash and derivatives segment. Clearing corporations will randomly take 4 snapshots at predefined time windows for arriving at such peak margin requirements on open positions during the day. The highest margin requirement from these 4 snapshots will be the Peak Margin. This aims to curb the excessive leverage for intraday and derivatives positions.

Intra-day positions will now need upfront margins. Also, if a trader falls short of these margins during the session, he would be liable to pay a penalty. 

HOW PEAK MARGIN AFFECTS PAYOUT -

You will get a maximum 80% payout of your available cash margin after deducting the peak margin. 

Let's understand it with the below example -

Your peak margin of a specific day is Rs 10 lakhs.

The available cash margin is Rs 15 lakhs

Available cash margin - Peak Margin = Gross payout amount

1500000 - 1000000 = 500000 Rs

So you will get a payout of 80% of 500000 that is Rs 400000 (Net Payout amount).

Note - 

- In case your peak margin is equal to or higher than your available cash margin, your payout will be rejected for that specific day. 

- Even if you have squared off your positions, still payout will be calculated on the basis of the peak margin rule. 

- You can check your peak margin in Shoonya ""View Limit"" option.

",,,,,,
Can I pledge my shares without POA to get the collateral margin?,"Yes, you can pledge the shares in favor of TM/Clearing Member without any POA (Power of Attorney) to get the collateral margin.

For getting the collateral margin, 50% of the margin needs to be compulsorily available in cash or cash equivalent collateral. The ratio of cash margin & collateral margin should be 50:50.

For example, if You have shares worth Rs 1,00,000 & the NSE haircut is 20%. You can now pledge all these shares in favor of Finvasia & get a collateral margin of Rs 80000.

Option 1: - If you have a cash margin of Rs 30000 in your account you can use a total margin of 60000 (Rs 30000 Cash margin + Rs 30000 collateral margin).

Option 2: - If you have a cash margin of Rs 80000 in your account you can use a total margin of 160000 (Rs 80000 Cash margin + Rs 80000 collateral margin).

Option 3: - If you have a cash margin of Rs 100000 in your account you can use a total margin of 180000 (Rs 100000 Cash margin + Rs 80000 collateral margin).

If you don’t maintain a sufficient cash margin and the shortfall is funded by non-cash collateral, there will be delayed payment charges on the shortfall.



Please Note-

-You will only be able to pledge shares already in your demat account.

-The pledge option will not be available for T1 holdings.

-You can pledge your holdings only if you have the equity derivatives segment (F&O) activated in your account. You can activate your FNO segment by raising a ticket in PRISM.

-Shares pledged before 4 PM shall be available for limits on the next working day.

-You would be required to select the segment in which you want to use the collateral margin. For example, if you want to pledge your stocks for trading in Futures & Options segment. So you need to select the FNO segment while processing the pledge request. You can not use this collateral margin for trading in other segments.

-For getting the collateral margin, 50% of the margin needs to be compulsorily available in cash or cash equivalent collateral. The ratio of cash margin & collateral margin should be 50:50.



Below is the link to know about the list of Approved securities for pledging (Cash component & Non-cash component) : - 

https://docs.google.com/spreadsheets/d/1ttguModi_QOhmQ1a1ajZdMUmJI9Bcwqv4OgaAUch5hw/edit#gid=1499446386

",,,,,,
Where can I find the list of cash equivalent securities for pledging?,"Below is the link to know about the list of Approved cash equivalent securities (ETFs, Gold Bonds & G-Sec) for pledging: -

https://docs.google.com/spreadsheets/d/1LRbIf17tNIr7W-YP4njkgF14-yP_T8MWYN3GxzRJLVM/edit#gid=0",,,,,,
Can I pledge Sovereign Gold Bonds (SGBs) as collateral to get collateral margin at Finvasia?,"Yes, you can pledge your Sovereign Gold Bonds (SGBs) and get the collateral margin.",,,,,,
Where can I find a list of mutual funds approved for collateral margins with their respective haircut?,"Please find below the link to know about the list and respective Haircut of approved Mutual Funds for collateral margins:
https://docs.google.com/spreadsheets/d/1Fl2OyRfaVOgygaMMs08ObsZYYP9sx8u8woM4cJiFx5E/edit#gid=000",,,,,,
How to pledge G-Sec (Government Securities) in Shoonya by Finvasia? Do you consider these as a cash equivalent?,"You can pledge G-Sec (Government Securities) in Shoonya and use collateral margin as a cash equivalent. Please find below the steps of the “How to Pledge G-Sec in Shoonya"" -

1. Log in to the Shoonya app

2. Go to the Hub and tap on Pledge

3. Select the available G-sec and tap on Pledge Now

4. Select the segment, quantity and tap on Pledge

5. Enter the OTP and verify

Please find below the list of approved cash equivalent Government Securities for pledging: -

https://docs.google.com/spreadsheets/d/1LRbIf17tNIr7W-YP4njkgF14-yP_T8MWYN3GxzRJLVM/edit#gid=0

Note - If you already have G-sec in your other Demat account, you can pledge them by transferring these into your Shoonya Demat account.",,,,,,
How to pledge Mutual Funds in Shoonya App? Do you consider these as a cash equivalent?,"Yes, Shoonya accepts Mutual Funds as cash equivalent. 
Please find below the steps of the ""How to Pledge Mutual Funds in Shoonya App"" -

1. Log in to the Shoonya app

2. Go to the Hub and tap on Pledge

3. Select the available Mutual Funds and tap on Pledge Now

4. Select the segment and quantity and tap on Pledge

5. Enter the OTP and verify

Please find below the list of approved cash equivalent Mutual Funds for pledging: -

https://docs.google.com/spreadsheets/d/1LRbIf17tNIr7W-YP4njkgF14-yP_T8MWYN3GxzRJLVM/edit#gid=0

Note - If you already have Mutual Funds in your other Demat account, you can pledge them by transferring these into your Shoonya Demat account.


",,,,,,
What is withdraw-able balance?,The balance available for payout after considering the margin requirement of all open positions is called withdraw-able balance.,,,,,,
Why are withdrawals only allowed to primary bank account?,"As per the company policy and set compliance, we only process funds to the primary bank account mapped to your trading account.",,,,,,
"Why did I get a message saying that my withdrawal request was processed even though I didn't place a request?
","This may be due to quarterly settlement purposes. As per SEBI guidelines, clients whose funds and securities are maintained on a running account basis have to be settled by members on a monthly/quarterly basis as per the client mandate. So we need to clear your balance/securities within this time frame. You can re-transfer the funds on the same day.",,,,,,
Why is my withdrawal/pay out request rejected?,"This may be due to insufficient margin. If you are using extra margin in trading, your payout request can be rejected.",,,,,,
"I placed a withdrawal request 24 hours ago, why haven't I received my money?
","As per the payout policy If you request a payout between 08.30 AM to 5:00 PM, you will receive the payout on the same day. No Payout or withdrawal requests will be processed on Saturday, Sunday, and Exchange Holidays. If you sold your delivery stocks today, you will get a payout after settlement (T+1 days).",,,,,,
When can I withdraw my funds if I sell my delivery shares or close my positions today?,"If you sold your delivery stocks today, you would get a payout after settlement (T+1 days).",,,,,,
Can I add money to my trading account using cash or demand draft?,No you cannot deposit cash or demand draft to our accounts. Please note there is a penalty for cash deposit.,,,,,,
Is there a limit on how much funds I can transfer to my trading account?,"There is no such limit from our side. However, you bank may have set limits. You'll need to talk to your bank before making a deposit higher than your allowed limits.",,,,,,
I'm getting an error while adding Funds through SHOONYA. What should I do?,Please reach out to our Live Chat support team and share the error details. The team will assist you with steps to resolve the issue.,,,,,,
Can I use the same funds for trading on equity as well as commodity?,"Yes, you can share funds across all the exchanges namely NSE, BSE, MCX & NCDEX.",,,,,,
Why is the money I added today not shown in my ledger?,"Funds are updated in your trading platform immediately. However, they are updated in financial ledger at day end.",,,,,,
What should I do if the bank has changed the branch IFSC or my account number?,Please to login to PRISM and update your banking details in your account. You'll be required to provide supporting documents. Documents accepted are Cancelled cheque or 1 month bank statement with MICR & IFSC code.,,,,,,
Why can't I see funds I just transferred through IMPS/NEFT/ UPI in my trading account?,It takes some time for us to receive funds & thereon update in your trading account. We suggest you to mention your client code in remarks to expedite the process.,,,,,,
How do I add funds to my trading account using a cheque?,"You can deposit a cheque in favour of ""Finvasia Securities Pvt. Ltd."" and drop it to the HDFC bank after filling in all the required details.

Please find below details to add money through Cheque -

FINVASIA SECURITIES PVT LTD
A/C #: 08730340000255
Bank Name: HDFC BANK
Bank Address: PLOT NO.28, PHASE 1, INDUSTRIAL AREA, CHANDIGARH
",,,,,,
